line_name,operator_name,day_of_week,hour,avg_arrival_delay,avg_departure_delay,num_trips
EC,Schweizerische Bundesbahnen SBB,Saturday,13.0,5.7481481481481485,7.107017543859649,19
EC,Schweizerische Bundesbahnen SBB,Saturday,14.0,8.943478260869565,8.782539682539683,23
EC,Schweizerische Bundesbahnen SBB,Saturday,15.0,8.500793650793652,7.226851851851852,23
EC,Schweizerische Bundesbahnen SBB,Saturday,16.0,9.560416666666667,8.423809523809524,16
EC,Schweizerische Bundesbahnen SBB,Saturday,17.0,3.855833333333333,4.642982456140351,20
EC,Schweizerische Bundesbahnen SBB,Saturday,18.0,3.9694444444444446,4.415625,18
EC,Schweizerische Bundesbahnen SBB,Saturday,19.0,4.783333333333333,5.781481481481482,21
EC,Schweizerische Bundesbahnen SBB,Saturday,20.0,6.455263157894737,4.224509803921569,19
EC,Schweizerische Bundesbahnen SBB,Saturday,21.0,2.382051282051282,3.3681818181818177,13
EC,Schweizerische Bundesbahnen SBB,Saturday,22.0,4.92037037037037,5.627777777777777,9
EC,Schweizerische Bundesbahnen SBB,Saturday,23.0,12.533333333333333,12.816666666666666,4
EC,Schweizerische Bundesbahnen SBB,Sunday,6.0,-0.13333333333333336,0.8966666666666667,5
EC,Schweizerische Bundesbahnen SBB,Sunday,7.0,5.298148148148147,6.464814814814815,9
EC,Schweizerische Bundesbahnen SBB,Sunday,8.0,-0.16025641025641024,1.1923076923076923,13
EC,Schweizerische Bundesbahnen SBB,Sunday,9.0,2.608888888888889,2.825,15
EC,Schweizerische Bundesbahnen SBB,Sunday,10.0,2.1305555555555555,6.404166666666667,19
EC,Schweizerische Bundesbahnen SBB,Sunday,11.0,2.2092592592592593,1.9666666666666666,18
EC,Schweizerische Bundesbahnen SBB,Sunday,12.0,0.027777777777777773,1.540625,18
EC,Schweizerische Bundesbahnen SBB,Sunday,13.0,1.0877192982456139,2.9350877192982456,19
EC,Schweizerische Bundesbahnen SBB,Sunday,14.0,0.8939393939393938,2.5166666666666666,22
EC,Schweizerische Bundesbahnen SBB,Sunday,15.0,2.5100000000000002,4.172222222222222,21
EC,Schweizerische Bundesbahnen SBB,Sunday,16.0,4.610416666666667,2.896153846153846,16
EC,Schweizerische Bundesbahnen SBB,Sunday,17.0,2.755833333333333,4.4070175438596495,20
EC,Schweizerische Bundesbahnen SBB,Sunday,18.0,9.053921568627452,9.787777777777778,17
EC,Schweizerische Bundesbahnen SBB,Sunday,19.0,7.078333333333333,9.462962962962964,20
EC,Schweizerische Bundesbahnen SBB,Sunday,20.0,6.720000000000001,7.855555555555556,21
EC,Schweizerische Bundesbahnen SBB,Sunday,21.0,9.283333333333333,8.02179487179487,16
EC,Schweizerische Bundesbahnen SBB,Sunday,22.0,5.052083333333333,5.51,8
EC,Schweizerische Bundesbahnen SBB,Sunday,23.0,10.5375,15.511111111111111,4
EC,Schweizerische Bundesbahnen SBB,Thursday,0.0,16.0125,19.141666666666666,4
EC,Schweizerische Bundesbahnen SBB,Thursday,5.0,-0.3333333333333333,0.5666666666666667,1
EC,Schweizerische Bundesbahnen SBB,Thursday,6.0,1.4738095238095237,1.7571428571428573,7
EC,Schweizerische Bundesbahnen SBB,Thursday,7.0,2.015151515151515,3.1555555555555554,12
EC,Schweizerische Bundesbahnen SBB,Thursday,8.0,0.5788888888888889,1.7023809523809523,16
EC,Schweizerische Bundesbahnen SBB,Thursday,9.0,1.2535087719298248,2.7284313725490197,20
EC,Schweizerische Bundesbahnen SBB,Thursday,10.0,1.3868421052631579,2.2766666666666664,19
EC,Schweizerische Bundesbahnen SBB,Thursday,11.0,4.125555555555556,5.457142857142856,17
EC,Schweizerische Bundesbahnen SBB,Thursday,12.0,6.166666666666667,5.832291666666666,18
EC,Schweizerische Bundesbahnen SBB,Thursday,13.0,1.571875,2.3781250000000003,17
EC,Schweizerische Bundesbahnen SBB,Thursday,14.0,1.9555555555555553,2.663888888888889,21
EC,Schweizerische Bundesbahnen SBB,Thursday,15.0,9.382352941176471,6.225555555555555,19
EC,Schweizerische Bundesbahnen SBB,Thursday,16.0,6.694791666666667,7.130952380952381,17
